Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
826,Spot-winged Grosbeak,Mycerobas melanozanthos,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.424507,0.0789,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
827,Common Rosefinch,Carpodacus erythrinus,Least Concern,Schedule-IV,X,X,-23.23421205,33.7514851,1.042418144,7.874055218,40.8606015,0.0832,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
828,Scarlet Finch,Carpodacus sipahi,Least Concern,Schedule-IV,,X,NA,NA,-2.356803177,48.78685487,4.8745929,0.0732,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
829,Blyth's Rosefinch,Carpodacus grandis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.9766068,0.1309,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
830,Pink-browed Rosefinch,Carpodacus rodochroa,Least Concern,Schedule-IV,,X,NA,NA,-3.982094547,17.49664678,10.9374918,0.0591,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
831,Spot-winged Rosefinch,Carpodacus rodopeplus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.2761112,0.0817,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
832,Crimson-browed Finch,Carpodacus subhimachalus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.3697482,0.0763,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
833,Himalayan White-browed Rosefinch,Carpodacus thura,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.0549841,0.104,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
834,Brown Bullfinch,Pyrrhula nipalensis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,4.9122206,0.1243,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
835,Orange Bullfinch,Pyrrhula aurantiaca,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.2385453,0.0977,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
836,Red-headed Bullfinch,Pyrrhula erythrocephala,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.8921488,0.0767,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
837,Gold-naped Finch,Pyrrhoplectes epauletta,Least Concern,Schedule-IV,,X,NA,NA,20.5257631,32.99645918,2.6601427,0.0893,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
838,Spectacled Finch,Callacanthis burtoni,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.5038354,0.1012,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
839,Dark-breasted Rosefinch,Procarduelis nipalensis,Least Concern,Schedule-IV,,X,NA,NA,0.024479567,18.93570259,8.1303333,0.0728,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
840,Plain Mountain Finch,Leucosticte nemoricola,Least Concern,Schedule-IV,X,X,-48.17833087,43.563703,7.839965893,19.70540175,15.54389,0.0688,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
841,Yellow-breasted Greenfinch,Chloris spinoides,Least Concern,Schedule-IV,X,X,-52.74710577,26.18776348,-6.246645213,7.859538342,17.4718095,0.0849,Moderate Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
842,European Goldfinch,Carduelis carduelis,Least Concern,Schedule-IV,,X,NA,NA,0.02283289,19.67281554,11.5359172,0.073,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
843,Fire-fronted Serin,Serinus pusillus,Least Concern,Schedule-IV,,X,NA,NA,12.9467745,23.32488215,13.3102318,0.0718,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
844,Crested Bunting,Emberiza lathami,Least Concern,Schedule-IV,X,X,-62.53565476,18.24747338,-12.40644879,5.35015162,10.4925361,0.0692,Moderate Decline,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local
845,Black-headed Bunting,Emberiza melanocephala,Least Concern,Schedule-IV,,X,NA,NA,20.7166663,20.43194599,15.7617643,0.0767,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
846,Red-headed Bunting,Emberiza bruniceps,Least Concern,Schedule-IV,,X,NA,NA,5.105035155,19.76406781,16.771658,0.0911,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
847,Rock Bunting,Emberiza cia,Least Concern,Schedule-IV,X,X,-28.01512401,57.14813573,0.295275266,15.39062464,18.8845207,0.0539,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
848,White-capped Bunting,Emberiza stewarti,Least Concern,Schedule-IV,,X,NA,NA,18.62570564,39.69076461,0.7528218,0.0848,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Local
